					     	Production Budget    Domestic Gross  Worldwide Gross	Net Gain
Avatar 							425000000	760507625	2776345279	2351345279
Pirates of the Caribbean: On Stranger Tides		410600000	241063875	1045663875	635063875
Dark Phoenix						350000000	42762350	149762350	-200237650
Avengers: Age of Ultron					330600000	459005868	1403013963	1072413963
Star Wars Ep. VIII: The Last Jedi			317000000	620181382	1316721747	999721747
Star Wars Ep. VII: The Force Awakens			306000000	936662225	2053311220	1747311220
Avengers: Infinity War 					300000000	678815482	2048134200	1748134200
Pirates of the Caribbean: At World's End		300000000	309420425	963420425	663420425
Justice League						300000000	229024295	655945209	355945209
Spectre							300000000	200074175	879620923	579620923
Black Panther						200000000	700059566	1348258224	1148258224
Titanic							200000000	659363944	2208208395	2008208395
Jurassic World						215000000	652270625	1648854864	1433854864
The Avengers						225000000	623279547	1517935897	1292935897
The Incredibles 2					200000000	608581744	1242520711	1042520711
The Dark Knight						185000000	533720947	1001996207	816996207
Furious 7						190000000	353007020	1518722794	1328722794
Harry Potter and the Deathly Hallows: Part II		125000000	381193157	1341693157	1216693157
Jurassic World: Fallen Kingdom				170000000	417719760	1305772799	1135772799
