,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
0,The Wandering Soap Opera,2017,80,"Comedy,Drama,Fantasy",6.5,119,PL,,Raoul Ruiz,1941,2011,"director,writer,producer",director,original director,,,,,,,,,,
4,Joe Finds Grace,2017,83,"Adventure,Animation,Comedy",8.1,263,CA,,Anthony Harrison,1961,,"actor,writer,producer",actor,,"[""Joseph Briteman""]",,,,,,,,,
5,Pál Adrienn,2010,136,Drama,6.8,451,SE,,Ágnes Kocsis,1971,,"director,writer,producer",director,,,,,,,,,,,
7,Life's a Beach,2012,100,Comedy,3.9,219,,,Tony Vitale,1964,,"producer,director,writer",director,,,,,,,,,,,
8,Second Coming,2012,95,,5.5,20,US,,Darren Campbell,,,"actor,writer,director",actor,,,,,,,,,,,
9,Wazir,2016,103,"Action,Crime,Drama",7.1,15378,IN,en,Bejoy Nambiar,1979,,"producer,writer,director",director,,,,,,,,,,,
17,The Wicker Tree,2011,96,"Drama,Horror",3.9,2328,RU,,Robin Hardy,1929,2016,"actor,writer,director",director,,,,,,,,,,,
18,The Overnight,2010,88,,7.5,24,,,Jed I. Goodman,,,"camera_department,writer,producer",director,,,,,,,,,,,
20,In My Sleep,2010,104,"Drama,Mystery,Thriller",5.5,1889,DE,,Allen Wolf,1970,,"miscellaneous,producer,director",director,,,,,,,,,,,
21,"Tiden är en dröm, del 2",2014,109,,6.3,6,SE,,Jan Lindkvist,1941,,"director,writer,cinematographer",actor,,"[""Narrator""]",,,,,,,,,
23,The Evil Within,2017,98,Horror,5.6,2420,,,Andrew Getty,1967,2015,"director,writer",director,,,,,,,,,,,
24,Zoolander 2,2016,101,Comedy,4.7,59914,RO,,Ben Stiller,1965,,"producer,actor,director",actor,,"[""Derek""]",,,,,,,,,
29,Fahrenheit 451,2018,100,"Drama,Sci-Fi,Thriller",4.9,14469,BG,bg,Ramin Bahrani,1975,,"director,writer,producer",director,,,,,,,,,,,
32,99 Homes,2014,112,Drama,7.1,26699,HU,,Ramin Bahrani,1975,,"director,writer,producer",director,,,,,,,,,,,
35,Wadjda,2012,98,"Comedy,Drama",7.5,16517,IT,,Haifaa Al-Mansour,1974,,"director,writer,producer",director,,,,,,,,,,,
36,Mary Shelley,2017,120,"Biography,Drama,History",6.4,8534,TR,tr,Haifaa Al-Mansour,1974,,"director,writer,producer",director,,,,,,,,,,,
38,Jurassic World,2015,124,"Action,Adventure,Sci-Fi",7,539338,GE,ka,Colin Trevorrow,1976,,"writer,producer,director",director,,,,,,,,,,,
43,Gnomeo & Juliet,2011,84,"Adventure,Animation,Comedy",6,49550,CZ,,Kelly Asbury,1960,,"art_department,animation_department,director",director,,,,,,,,,,,
54,Den milde smerte,2010,280,Drama,7.8,6,XEU,en,Carsten Brandt,,,"actor,director,writer",actor,,,,,,,,,,,
55,Zootopia,2016,108,"Adventure,Animation,Comedy",8,383446,HK,yue,Byron Howard,1968,,"animation_department,director,actor",director,,,,,,,,,,,
79,In Secret,2013,107,"Crime,Drama,Thriller",6.2,7045,,,Charlie Stratton,,,"actor,director,producer",director,,,,,,,,,,,
82,Asleep in the Sun,2010,83,Fantasy,6.4,80,AR,,Alejandro Chomski,1968,,"director,writer,producer",director,,,,,,,,,,,
84,The Ninth Cloud,2014,93,Drama,6.2,56,US,,Jane Spencer,,,"director,writer,producer",director,,,,,,,,,,,
86,The A-Team,2010,117,"Action,Adventure,Thriller",6.8,235256,IT,,Joe Carnahan,1969,,"producer,writer,director",director,,,,,,,,,,,
91,The Grey,2011,117,"Action,Adventure,Drama",6.8,228798,CA,fr,Joe Carnahan,1969,,"producer,writer,director",director,,,,,,,,,,,
93,Caleuche: El llamado del Mar,2012,100,"Drama,Fantasy,Horror",5.2,168,,,Jorge Olguín,,,"director,special_effects,producer",director,,,,,,,,,,,
95,Toy Story 3,2010,103,"Adventure,Animation,Comedy",8.3,682218,RS,,Lee Unkrich,1967,,"editorial_department,editor,miscellaneous",director,,,,,,,,,,,
99,Coco,2017,105,"Adventure,Animation,Comedy",8.4,277194,SI,,Lee Unkrich,1967,,"editorial_department,editor,miscellaneous",director,,,,,,,,,,,
107,Scott Pilgrim vs. the World,2010,112,"Action,Comedy,Fantasy",7.5,339338,IL,he,Edgar Wright,1974,,"director,writer,actor",director,,,,,,,,,,,
110,The World's End,2013,109,"Action,Comedy,Sci-Fi",7,235308,BA,hr,Edgar Wright,1974,,"director,writer,actor",director,,,,,,,,,,,
112,Baby Driver,2017,113,"Action,Crime,Drama",7.6,363977,EE,,Edgar Wright,1974,,"director,writer,actor",director,,,,,,,,,,,
113,Surviving in L.A.,2019,,"Comedy,Drama,Romance",8.7,12,US,,Abbi Lake O'Neill,,,"actress,writer,director",actress,,"[""Kate""]",,,,,,,,,
114,42,2013,128,"Biography,Drama,Sport",7.5,77703,EE,,Brian Helgeland,1961,,"writer,director,producer",director,,,,,,,,,,,
115,Being Flynn,2012,102,Drama,6.4,15780,RU,,Paul Weitz,1965,,"producer,writer,director",director,,,,,,,,,,,
117,Sin City: A Dame to Kill For,2014,102,"Crime,Thriller",6.5,140666,GR,,Frank Miller,1957,,"writer,producer,actor",director,,,,,,,,,,,
