,title,year,runtime,genre,average rating,total votes,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
0,Star Wars: The Force Awakens,2015,,,7.4,12641,18-Dec-2015,,936700000,113160,9367011316,9367011316,BV,en,32.281
1,Star Wars: The Force Awakens,2015,,,7.4,12641,18-Dec-2015,,936700000,113160,9367011316,9367011316,BV,en,32.281
2,Star Wars Ep. VII: The Force Awakens,,,,,,18-Dec-2015,306000000,936662225,1116648995,2053311220,1747311220,,,
3,Avatar,,,,,,18-Dec-2009,425000000,760507625,2015837654,2776345279,2351345279,,,
4,Black Panther,2018,,,5.1,11,18-Jan-2011,,700100000,646900000,1347000000,1347000000,BV,en,2.058
5,Black Panther,2018,,,7.4,12365,16-Feb-2018,,700100000,646900000,1347000000,1347000000,BV,en,44.14
6,Black Panther,,,,,,16-Feb-2018,200000000,700059566,648198658,1348258224,1148258224,,,
7,Avengers: Infinity War,,,,,,27-Apr-2018,300000000,678815482,1369318718,2048134200,1748134200,,,
8,Avengers: Infinity War,2018,,,8.3,13948,27-Apr-2018,,678800000,136950,6788013695,6788013695,BV,en,80.773
9,Titanic,,,,,,19-Dec-1997,200000000,659363944,1548844451,2208208395,2008208395,,,
10,Jurassic World,2015,,,6.6,14056,12-Jun-2015,,652300000,101940,6523010194,6523010194,Uni.,en,20.709
11,Jurassic World,,,,,,12-Jun-2015,215000000,652270625,996584239,1648854864,1433854864,,,
12,The Avengers,,,,,,04-May-2012,225000000,623279547,894656350,1517935897,1292935897,,,
13,Star Wars: The Last Jedi,2017,,,7,8534,15-Dec-2017,,620200000,712400000,1332600000,1332600000,BV,en,34.293
14,Star Wars: The Last Jedi,2017,,,7,8534,15-Dec-2017,,620200000,712400000,1332600000,1332600000,BV,en,34.293
15,Star Wars Ep. VIII: The Last Jedi,,,,,,15-Dec-2017,317000000,620181382,696540365,1316721747,999721747,,,
16,Incredibles 2,2018,,,7.6,6354,15-Jun-2018,,608600000,634200000,1242800000,1242800000,BV,en,36.286
17,Incredibles 2,,,,,,15-Jun-2018,200000000,608581744,633938967,1242520711,1042520711,,,
18,The Dark Knight,,,,,,18-Jul-2008,185000000,533720947,468275260,1001996207,816996207,,,
19,Rogue One: A Star Wars Story,2016,,,7.5,9296,16-Dec-2016,,532200000,523900000,1056100000,1056100000,BV,en,21.401
20,Rogue One: A Star Wars Story,2016,,,7.5,9296,16-Dec-2016,,532200000,523900000,1056100000,1056100000,BV,en,21.401
21,Rogue One: A Star Wars Story,,,,,,16-Dec-2016,200000000,532177324,516925532,1049102856,849102856,,,
22,Beauty and the Beast,,,,,,17-Mar-2017,160000000,504014165,755185541,1259199706,1099199706,,,
23,Finding Dory,2016,,,7,7845,17-Jun-2016,,486300000,542300000,1028600000,1028600000,BV,en,15.393
24,Finding Dory,,,,,,17-Jun-2016,200000000,486295561,534919632,1021215193,821215193,,,
25,Star Wars Ep. I: The Phantom Menace,,,,,,19-May-1999,115000000,474544677,552500000,1027044677,912044677,,,
26,Star Wars Ep. IV: A New Hope,,,,,,25-May-1977,11000000,460998007,325600000,786598007,775598007,,,
27,Avengers: Age of Ultron,,,,,,01-May-2015,330600000,459005868,944008095,1403013963,1072413963,,,
28,Avengers: Age of Ultron,2015,,,7.3,13457,01-May-2015,,459000000,946400000,1405400000,1405400000,BV,en,44.383
29,The Dark Knight Rises,,,,,,20-Jul-2012,275000000,448139099,636300000,1084439099,809439099,,,
30,The Dark Knight Rises,2012,,,7.7,13933,20-Jul-2012,,448100000,636800000,1084900000,1084900000,WB,en,26.22
31,Shrek 2,,,,,,19-May-2004,70000000,441226247,495781885,937008132,867008132,,,
32,ET: The Extra-Terrestrial,,,,,,11-Jun-1982,10500000,435110554,357854772,792965326,782465326,,,
33,Captain Marvel,,,,,,08-Mar-2019,175000000,426525952,696535598,1123061550,948061550,,,
34,The Hunger Games: Catching Fire,2013,,,7.4,11170,22-Nov-2013,,424700000,440300000,865000000,865000000,LGF,en,20.187
35,The Hunger Games: Catching Fire,,,,,,22-Nov-2013,130000000,424668047,440200000,864868047,734868047,,,
36,Pirates of the Caribbean: Dead Manâs Chest,,,,,,07-Jul-2006,225000000,423315812,642900000,1066215812,841215812,,,
37,The Lion King,,,,,,15-Jun-1994,79300000,421785283,564429585,986214868,906914868,,,
38,Jurassic World: Fallen Kingdom,,,,,,22-Jun-2018,170000000,417719760,888053039,1305772799,1135772799,,,
39,Jurassic World: Fallen Kingdom,2018,,,6.5,5995,22-Jun-2018,,417700000,891800000,1309500000,1309500000,Uni.,en,34.958
40,Toy Story 3,,,,,,18-Jun-2010,200000000,415004880,653874642,1068879522,868879522,,,
41,Toy Story 3,2010,,,7.7,8340,17-Jun-2010,,415000000,652000000,1067000000,1067000000,BV,en,24.445
42,Wonder Woman,2017,,,5.9,34,29-Sep-2013,,412600000,409300000,821900000,821900000,WB,en,2.841
43,Wonder Woman,2017,,,7.3,12566,02-Jun-2017,,412600000,409300000,821900000,821900000,WB,en,31.618
44,Wonder Woman,,,,,,02-Jun-2017,150000000,412563408,408569970,821133378,671133378,,,
45,Iron Man 3,2013,,,6.9,14155,03-May-2013,,409000000,805800000,1214800000,1214800000,BV,en,32.093
46,Iron Man 3,,,,,,03-May-2013,200000000,408992272,806400000,1215392272,1015392272,,,
47,Captain America: Civil War,2016,,,7.4,14000,06-May-2016,,408100000,745200000,1153300000,1153300000,BV,en,39.137
48,Captain America: Civil War,,,,,,06-May-2016,250000000,408084349,731985064,1140069413,890069413,,,
49,The Hunger Games,,,,,,23-Mar-2012,80000000,408010692,269912687,677923379,597923379,,,
50,The Hunger Games,2012,,,7.1,14587,23-Mar-2012,,408000000,286400000,694400000,694400000,LGF,en,14.212
51,Jumanji: Welcome to the Jungle,,,,,,20-Dec-2017,90000000,404508916,559987277,964496193,874496193,,,
52,Jumanji: Welcome to the Jungle,2017,,,6.7,7213,20-Dec-2017,,404500000,557600000,962100000,962100000,Sony,en,20.395
53,Jumanji: Welcome to the Jungle,2017,,,6.7,7213,20-Dec-2017,,404500000,557600000,962100000,962100000,Sony,en,20.395
54,Spider-Man,,,,,,03-May-2002,139000000,403706375,418000000,821706375,682706375,,,
55,Transformers: Revenge of the Fallen,,,,,,24-Jun-2009,210000000,402111870,434407829,836519699,626519699,,,
56,Frozen,,,,,,22-Nov-2013,150000000,400738009,871731901,1272469910,1122469910,,,
57,Frozen,2013,,,5.8,987,05-Feb-2010,,400700000,875700000,1276400000,1276400000,BV,en,9.678
58,Frozen,2013,,,7.3,9767,27-Nov-2013,,400700000,875700000,1276400000,1276400000,BV,en,26.183
59,Jurassic Park,,,,,,11-Jun-1993,63000000,395708305,643104279,1038812584,975812584,,,
60,Guardians of the Galaxy Vol 2,,,,,,05-May-2017,200000000,389813101,472503132,862316233,662316233,,,
61,Guardians of the Galaxy Vol. 2,2017,,,7.7,12535,05-May-2017,,389800000,473900000,863700000,863700000,BV,en,40.228
62,Harry Potter and the Deathly Hallows: Part II,,,,,,15-Jul-2011,125000000,381193157,960500000,1341693157,1216693157,,,
63,Finding Nemo,,,,,,30-May-2003,94000000,380529370,555900000,936429370,842429370,,,
64,Star Wars Ep. III: Revenge of the Sith,,,,,,19-May-2005,115000000,380270577,468728300,848998877,733998877,,,
65,The Lord of the Rings: The Return of the King,,,,,,17-Dec-2003,94000000,377845905,763557436,1141403341,1047403341,,,
66,Beauty and the Beast,,,,,,13-Nov-1991,20000000,376057266,232373866,608431132,588431132,,,
67,Spider-Man 2,,,,,,30-Jun-2004,200000000,373524485,421586185,795110670,595110670,,,
68,The Passion of the Christ,,,,,,25-Feb-2004,25000000,370782930,251558994,622341924,597341924,,,
69,The Secret Life of Pets,2016,,,6.1,5374,08-Jul-2016,,368400000,507100000,875500000,875500000,Uni.,en,9.909
70,The Secret Life of Pets,,,,,,08-Jul-2016,75000000,368384330,518366204,886750534,811750534,,,
71,Despicable Me 2,2013,,,6.9,7319,03-Jul-2013,,368100000,602700000,970800000,970800000,Uni.,en,19.014
72,Despicable Me 2,,,,,,03-Jul-2013,76000000,368065385,607151450,975216835,899216835,,,
73,The Jungle Book,,,,,,15-Apr-2016,175000000,364001123,598853424,962854547,787854547,,,
74,Deadpool,2016,,,7.6,20175,12-Feb-2016,,363100000,420000000,783100000,783100000,Fox,en,35.067
75,Deadpool,,,,,,12-Feb-2016,58000000,363070709,437954884,801025593,743025593,,,
76,Inside Out,2015,,,4.4,18,27-Sep-2011,,356500000,501100000,857600000,857600000,BV,en,4.758
77,Inside Out,2015,,,8,12691,19-Jun-2015,,356500000,501100000,857600000,857600000,BV,en,24.797
78,Inside Out,,,,,,19-Jun-2015,175000000,356461711,497774281,854235992,679235992,,,
79,Furious 7,,,,,,03-Apr-2015,190000000,353007020,1165715774,1518722794,1328722794,,,
80,Furious 7,2015,,,7.3,6538,03-Apr-2015,,353000000,116300,353001163,353001163,Uni.,en,20.396
81,Transformers: Dark of the Moon,2011,,,6.1,4961,28-Jun-2011,,352400000,771400000,1123800000,1123800000,P/DW,en,5.339
82,Transformers: Dark of the Moon,,,,,,29-Jun-2011,195000000,352390543,771400000,1123790543,928790543,,,
83,American Sniper,,,,,,25-Dec-2014,58000000,350126372,197200000,547326372,489326372,,,
84,American Sniper,2014,,,7.4,7658,25-Dec-2014,,350100000,197300000,547400000,547400000,WB,en,18.473
85,American Sniper,2014,,,7.4,7658,25-Dec-2014,,350100000,197300000,547400000,547400000,WB,en,18.473
86,The Lord of the Rings: The Two Towers,,,,,,18-Dec-2002,94000000,342548984,592150661,934699645,840699645,,,
87,Zootopia,2016,,,7.7,9977,04-Mar-2016,,341300000,682500000,1023800000,1023800000,BV,en,27.549
88,Zootopia,,,,,,04-Mar-2016,150000000,341268248,678161368,1019429616,869429616,,,
89,The Hunger Games: Mockingjay - Part 1,,,,,,21-Nov-2014,125000000,337135885,429439246,766575131,641575131,,,
90,The Hunger Games: Mockingjay - Part 1,2014,,,6.8,10087,21-Nov-2014,,337100000,418200000,755300000,755300000,LGF,en,33.837
91,Spider-Man 3,,,,,,04-May-2007,258000000,336530303,558329927,894860230,636860230,,,
92,Minions,,,,,,10-Jul-2015,74000000,336045770,824290403,1160336173,1086336173,,,
93,Minions,2015,,,6.4,7343,10-Jul-2015,,336000000,823400000,1159400000,1159400000,Uni.,en,9.338
94,Aquaman,2018,,,6.8,6155,21-Dec-2018,,335100000,812700000,1147800000,1147800000,WB,en,38.102
95,Aquaman,,,,,,21-Dec-2018,160000000,335061807,811832833,1146894640,986894640,,,
96,Spider-Man: Homecoming,,,,,,07-Jul-2017,175000000,334201140,545965210,880166350,705166350,,,
97,Spider-Man: Homecoming,2017,,,7.4,11585,07-Jul-2017,,334200000,546000000,880200000,880200000,Sony,en,46.775
98,Alice in Wonderland,,,,,,05-Mar-2010,200000000,334191110,691300000,1025491110,825491110,,,
99,Guardians of the Galaxy,2014,,,7.9,17958,01-Aug-2014,,333200000,440200000,773400000,773400000,BV,en,49.606
100,Guardians of the Galaxy,,,,,,01-Aug-2014,170000000,333172112,437695404,770867516,600867516,,,
101,Batman v Superman: Dawn of Justice,2016,,,5.8,11991,25-Mar-2016,,330400000,543300000,873700000,873700000,WB,en,28.088
102,Batman v Superman: Dawn of Justice,,,,,,25-Mar-2016,250000000,330360194,537140087,867500281,617500281,,,
103,Forrest Gump,,,,,,06-Jul-1994,55000000,330151138,349699499,679850637,624850637,,,
104,It,2017,,,7.2,10931,08-Sep-2017,,327500000,372900000,700400000,700400000,WB (NL),en,13.966
105,It,2017,,,7.2,10931,08-Sep-2017,,327500000,372900000,700400000,700400000,WB (NL),en,13.966
106,It,,,,,,08-Sep-2017,35000000,327481748,369976221,697457969,662457969,,,
107,Suicide Squad,,,,,,05-Aug-2016,175000000,325100054,420959833,746059887,571059887,,,
108,Suicide Squad,2016,,,5.9,13533,05-Aug-2016,,325100000,421700000,746800000,746800000,WB,en,16.53
109,Deadpool 2,,,,,,18-May-2018,110000000,324591735,462088822,786680557,676680557,,,
110,Shrek the Third,,,,,,17-May-2007,160000000,322719944,484610992,807330936,647330936,,,
111,Transformers,,,,,,02-Jul-2007,151000000,319246193,389026399,708272592,557272592,,,
112,Iron Man,,,,,,02-May-2008,186000000,318604126,266567421,585171547,399171547,,,
113,Deadpool 2,2018,,,7.5,8773,10-May-2018,,318500000,460500000,779000000,779000000,Fox,en,38.894
114,Harry Potter and the Sorcererâs Stone,,,,,,16-Nov-2001,125000000,317871467,657176139,975047606,850047606,,,
115,Indiana Jones and the Kingdom of the Crystal Skull,,,,,,22-May-2008,185000000,317101119,469534294,786635413,601635413,,,
116,The Lord of the Rings: The Fellowship of the Ring,,,,,,19-Dec-2001,109000000,315544750,571666235,887210985,778210985,,,
117,Thor: Ragnarok,2017,,,7.5,11380,03-Nov-2017,,315100000,538900000,854000000,854000000,BV,en,43.45
118,Thor: Ragnarok,2017,,,7.5,11380,03-Nov-2017,,315100000,538900000,854000000,854000000,BV,en,43.45
119,Thor: Ragnarok,,,,,,03-Nov-2017,180000000,315058289,531921735,846980024,666980024,,,
120,Iron Man 2,,,,,,07-May-2010,170000000,312433331,308723058,621156389,451156389,,,
121,Iron Man 2,2010,,,6.8,12368,07-May-2010,,312400000,311500000,623900000,623900000,Par.,en,28.515
122,Star Wars Ep. II: Attack of the Clones,,,,,,16-May-2002,115000000,310676740,346018875,656695615,541695615,,,
123,Pirates of the Caribbean: At Worlds End,,,,,,24-May-2007,300000000,309420425,654000000,963420425,663420425,,,
124,Star Wars Ep. VI: Return of the Jedi,,,,,,25-May-1983,32500000,309205079,263500000,572705079,540205079,,,
125,Independence Day,,,,,,02-Jul-1996,75000000,306169255,511231623,817400878,742400878,,,
126,Pirates of the Caribbean: The Curse of the Black Pearl,,,,,,09-Jul-2003,140000000,305411224,329542879,634954103,494954103,,,
127,Skyfall,2012,,,7.1,10441,09-Nov-2012,,304400000,804200000,1108600000,1108600000,Sony,en,19.27
128,Skyfall,,,,,,08-Nov-2012,200000000,304360277,806166704,1110526981,910526981,,,
129,The Hobbit: An Unexpected Journey,,,,,,14-Dec-2012,250000000,303003568,714000000,1017003568,767003568,,,
130,The Hobbit: An Unexpected Journey,2012,,,7.2,12076,14-Dec-2012,,303000000,718100000,1021100000,1021100000,WB (NL),en,26.939
131,Harry Potter and the Half-Blood Prince,,,,,,15-Jul-2009,250000000,302089278,633124489,935213767,685213767,,,
132,The Twilight Saga: Eclipse,,,,,,30-Jun-2010,68000000,300531751,405571077,706102828,638102828,,,
133,The Twilight Saga: Eclipse,2010,,,6,4909,23-Jun-2010,,300500000,398000000,698500000,698500000,Sum.,en,20.34
134,The Twilight Saga: New Moon,,,,,,20-Nov-2009,50000000,296623634,390934093,687557727,637557727,,,
135,Harry Potter and the Deathly Hallows: Part I,,,,,,19-Nov-2010,125000000,296131568,664300000,960431568,835431568,,,
136,The Sixth Sense,,,,,,06-Aug-1999,40000000,293506292,379300000,672806292,632806292,,,
137,Up,,,,,,29-May-2009,175000000,293004164,438459213,731463377,556463377,,,
138,Inception,2010,,,8.3,22186,16-Jul-2010,,292600000,535700000,828300000,828300000,WB,en,27.92
139,Inception,,,,,,16-Jul-2010,160000000,292576195,542948447,835524642,675524642,,,
140,"The Twilight Saga: Breaking Dawn, Part 2",,,,,,16-Nov-2012,136200000,292324737,537400000,829724737,693524737,,,
141,Harry Potter and the Order of the Phoenix,,,,,,11-Jul-2007,150000000,292137260,650939197,943076457,793076457,,,
142,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,,09-Dec-2005,180000000,291710957,428828615,720539572,540539572,,,
143,Man of Steel,,,,,,14-Jun-2013,225000000,291045518,376954000,667999518,442999518,,,
144,Man of Steel,2013,,,6.5,9758,14-Jun-2013,,291000000,377000000,668000000,668000000,WB,en,27.667
145,Star Wars Ep. V: The Empire Strikes Back,,,,,,21-May-1980,23000000,290271960,243889374,534161334,511161334,,,
146,Harry Potter and the Goblet of Fire,,,,,,18-Nov-2005,150000000,290201752,606898042,897099794,747099794,,,
147,"Monsters, Inc.",,,,,,02-Nov-2001,115000000,289423425,270334294,559757719,444757719,,,
148,Home Alone,,,,,,16-Nov-1990,15000000,285761243,190923432,476684675,461684675,,,
149,The Hunger Games: Mockingjay - Part 2,,,,,,20-Nov-2015,160000000,281723902,367262885,648986787,488986787,,,
150,The Hunger Games: Mockingjay - Part 2,2015,,,6.8,7609,18-Nov-2015,,281700000,371700000,653400000,653400000,LGF,en,19.487
151,The Hunger Games: Mockingjay - Part 2,2015,,,6.8,7609,18-Nov-2015,,281700000,371700000,653400000,653400000,LGF,en,19.487
152,The Matrix Reloaded,,,,,,15-May-2003,150000000,281553689,457023240,738576929,588576929,,,
153,"The Twilight Saga: Breaking Dawn, Part 1",,,,,,18-Nov-2011,127500000,281287133,408132918,689420051,561920051,,,
154,Meet the Fockers,,,,,,22-Dec-2004,60000000,279167575,237400000,516567575,456567575,,,
155,The Hangover,,,,,,05-Jun-2009,35000000,277322503,188441583,465764086,430764086,,,
156,Gravity,2013,,,7.2,9586,04-Oct-2013,,274100000,449100000,723200000,723200000,WB,en,27.836
157,Gravity,,,,,,04-Oct-2013,110000000,274092705,419605968,693698673,583698673,,,
158,Dr. Seussâ The Grinch,,,,,,09-Nov-2018,75000000,270620950,240381476,511002426,436002426,,,
159,Sing,2016,,,6.9,4303,21-Dec-2016,,270400000,363800000,634200000,634200000,Uni.,en,17.572
